Scheme Code,ISIN
110601,INF761K01017
103166,INF209K01AJ8
120491,INF192K01CA1
149534,INF173K01EM2
149387,INF846K017E1
149366,INF179KC1BV9
150573,INF903JA1LF9
153868,INF0K1H01297
106236,INF204K01539
119076,INF740K01PI2
103820,INF740K01078
107579,INF769K01036
112277,INF846K01164
100176,INF206A01022
154214,INF2JJD01185
120356,INF205K01LY2
125350,INF846K01K01
154267,INF2F0001511
152225,INF03VN01837
153630,INF192K01NP6
101163,INF204K01455
148507,INF903JA1JC0
152128,INF251K01SR5
106235,INF204K01562
149183,INF174KA1HT7
120842,INF966L01895
149365,INF179KC1BW7
133711,INF767K01NB5
149367,INF179KC1BT3
150572,
148352,INF00XX01812
148504,INF903JA1IZ3
120663,INF789F01TA8
154156,
120166,INF174K01LS2
129648,INF582M01CA9
152612,INF192K01NE0
119527,INF209K01YX9
119250,INF740K01PR3
149667,INF173K01940
101823,INF277K01DH3
120597,INF109K019N0
102001,INF179K01BC6
148508,INF903JA1JD8
152237,INF247L01BY3
147920,INF00XX01713
145138,INF205K012T5
153629,INF192K01NK7
119017,INF179K01YT2
120152,INF174K01KW6
103173,INF209K01BO6
148981,INF761K01FK5
100033,INF209K01165
153911,INF0R8701368
147186,INF00XX01176
148353,INF00XX01804
119557,INF209K01WM6
148472,INF955L01JS6
106871,INF767K01105
146130,INF760K01JC6
138308,INF663L01GW4
152737,INF090I01XB5
152783,INF0QA701896
147185,INF00XX01143
100348,INF109K01EQ7
111937,INF754K01129
145112,INF846K01J79
120412,INF205K01MQ6
110598,INF761K01116
146551,INF174V01697
120489,INF192K01BX5
145209,
152941,INF0R8701269
149031,INF663L01W14
120392,INF205K01LB0
101228,INF109K01613
151823,INF760K01KT8
129649,INF582M01BU9
152652,INF247L01CM6
154154,INF879O01365
151443,INF761K01FR0
119134,INF666M01626
151292,INF336L01QR6
120822,INF966L01598
148980,INF761K01FL3
118650,INF204K01XF9
149368,INF179KC1BS5
120164,INF174K01KT2
129646,INF582M01BW5
148982,INF761K01FO7
